dataset,feature,length,model_size,auc
StackExchange,refer,600,2.8b,0.505015
StackExchange,refer,700,2.8b,0.512776
StackExchange,refer,800,2.8b,0.5137740000000001
StackExchange,refer,900,2.8b,0.5086823308270676
StackExchange,refer,0,6.9b,0.5206109999999999
StackExchange,refer,100,6.9b,0.501638
StackExchange,refer,200,6.9b,0.5040549999999999
StackExchange,refer,300,6.9b,0.522651
StackExchange,refer,400,6.9b,0.5026215
StackExchange,refer,500,6.9b,0.5170239999999999
StackExchange,refer,600,6.9b,0.505015
StackExchange,refer,700,6.9b,0.512776
StackExchange,refer,800,6.9b,0.5137740000000001
StackExchange,refer,900,6.9b,0.5086823308270676
PubMed Central,loss,0,410m,0.5070265
PubMed Central,loss,100,410m,0.5022445
PubMed Central,loss,200,410m,0.506822
PubMed Central,loss,300,410m,0.5075595
PubMed Central,loss,400,410m,0.5090965
PubMed Central,loss,500,410m,0.505207
PubMed Central,loss,600,410m,0.5210515
PubMed Central,loss,700,410m,0.501181
PubMed Central,loss,800,410m,0.5143200000000001
PubMed Central,loss,900,410m,0.511221
PubMed Central,loss,0,1b,0.5056700000000001
PubMed Central,loss,100,1b,0.5030025
PubMed Central,loss,200,1b,0.5077339999999999
PubMed Central,loss,300,1b,0.5029865
PubMed Central,loss,400,1b,0.515269
PubMed Central,loss,500,1b,0.5081944999999999
PubMed Central,loss,600,1b,0.5201215
PubMed Central,loss,700,1b,0.5044995
PubMed Central,loss,800,1b,0.5131615
PubMed Central,loss,900,1b,0.506124
PubMed Central,loss,0,2.8b,0.5066445
PubMed Central,loss,100,2.8b,0.505158
PubMed Central,loss,200,2.8b,0.5004
PubMed Central,loss,300,2.8b,0.5048015
PubMed Central,loss,400,2.8b,0.519046
PubMed Central,loss,500,2.8b,0.513328
