dataset,feature,length,model_size,auc
Wikipedia (en),Refer,400,2.8b,0.5006252631578947
Wikipedia (en),Refer,500,2.8b,0.500598167539267
Wikipedia (en),Refer,600,2.8b,0.5128436395759717
Wikipedia (en),Refer,700,2.8b,0.5100910973084886
Wikipedia (en),Refer,800,2.8b,0.5147955182072829
Wikipedia (en),Refer,900,2.8b,0.5286428571428572
Wikipedia (en),Refer,0,6.9b,0.520141
Wikipedia (en),Refer,100,6.9b,0.5035105
Wikipedia (en),Refer,200,6.9b,0.5021355
Wikipedia (en),Refer,300,6.9b,0.5021155
Wikipedia (en),Refer,400,6.9b,0.5006252631578947
Wikipedia (en),Refer,500,6.9b,0.500598167539267
Wikipedia (en),Refer,600,6.9b,0.5128436395759717
Wikipedia (en),Refer,700,6.9b,0.5100848861283644
Wikipedia (en),Refer,800,6.9b,0.5147955182072829
Wikipedia (en),Refer,900,6.9b,0.5286428571428572
Wikipedia (en),Refer,0,12b,0.520141
Wikipedia (en),Refer,100,12b,0.5035105
Wikipedia (en),Refer,200,12b,0.5021355
Wikipedia (en),Refer,300,12b,0.5021155
Wikipedia (en),Refer,400,12b,0.5006252631578947
Wikipedia (en),Refer,500,12b,0.500598167539267
Wikipedia (en),Refer,600,12b,0.5128436395759717
Wikipedia (en),Refer,700,12b,0.5100848861283644
Wikipedia (en),Refer,800,12b,0.5147955182072829
Wikipedia (en),Refer,900,12b,0.5286428571428572
Wikipedia (en),CCD,0,160m,0.508457
Wikipedia (en),CCD,100,160m,0.5099250000000001
Wikipedia (en),CCD,200,160m,0.5201095
Wikipedia (en),CCD,300,160m,0.5243365
Wikipedia (en),CCD,400,160m,0.5090278947368421
Wikipedia (en),CCD,500,160m,0.5335386125654451
Wikipedia (en),CCD,600,160m,0.5083374558303886
Wikipedia (en),CCD,700,160m,0.5031190476190477
Wikipedia (en),CCD,800,160m,0.5167899159663866
Wikipedia (en),CCD,900,160m,0.5042959183673469
Wikipedia (en),CCD,0,410m,0.5035915
Wikipedia (en),CCD,100,410m,0.5072099999999999
Wikipedia (en),CCD,200,410m,0.5008554999999999
Wikipedia (en),CCD,300,410m,0.5428945
Wikipedia (en),CCD,400,410m,0.5035852631578948
Wikipedia (en),CCD,500,410m,0.5195157068062828
Wikipedia (en),CCD,600,410m,0.5019196113074205
Wikipedia (en),CCD,700,410m,0.5044285714285714
Wikipedia (en),CCD,800,410m,0.5035406162464986
Wikipedia (en),CCD,900,410m,0.5265697278911564
Wikipedia (en),CCD,0,1b,0.5046405
Wikipedia (en),CCD,100,1b,0.5080145
Wikipedia (en),CCD,200,1b,0.502356
Wikipedia (en),CCD,300,1b,0.543847
Wikipedia (en),CCD,400,1b,0.5135147368421052
Wikipedia (en),CCD,500,1b,0.5083939790575916
Wikipedia (en),CCD,600,1b,0.5000044169611308
Wikipedia (en),CCD,700,1b,0.527212215320911
Wikipedia (en),CCD,800,1b,0.5454187675070028
Wikipedia (en),CCD,900,1b,0.5241530612244898
Wikipedia (en),CCD,0,2.8b,0.5113725
Wikipedia (en),CCD,100,2.8b,0.5213135
Wikipedia (en),CCD,200,2.8b,0.501768
Wikipedia (en),CCD,300,2.8b,0.5253220000000001
Wikipedia (en),CCD,400,2.8b,0.5024931578947368
Wikipedia (en),CCD,500,2.8b,0.5038946335078534
Wikipedia (en),CCD,600,2.8b,0.5100494699646643
Wikipedia (en),CCD,700,2.8b,0.5098302277432712
Wikipedia (en),CCD,800,2.8b,0.5146834733893557
Wikipedia (en),CCD,900,2.8b,0.5064149659863946
Wikipedia (en),CCD,0,6.9b,0.5103275
Wikipedia (en),CCD,100,6.9b,0.5094565
Wikipedia (en),CCD,200,6.9b,0.503142
Wikipedia (en),CCD,300,6.9b,0.521755
Wikipedia (en),CCD,400,6.9b,0.5088031578947368
Wikipedia (en),CCD,500,6.9b,0.512687827225131
Wikipedia (en),CCD,600,6.9b,0.5182535335689046
Wikipedia (en),CCD,700,6.9b,0.5118209109730849
Wikipedia (en),CCD,800,6.9b,0.5063403361344538
Wikipedia (en),CCD,900,6.9b,0.5150391156462586
Wikipedia (en),CCD,0,12b,0.50794
Wikipedia (en),CCD,100,12b,0.500514
Wikipedia (en),CCD,200,12b,0.510562
Wikipedia (en),CCD,300,12b,0.529023
Wikipedia (en),CCD,400,12b,0.5007052631578948
Wikipedia (en),CCD,500,12b,0.5149057591623036
Wikipedia (en),CCD,600,12b,0.5081757950530035
Wikipedia (en),CCD,700,12b,0.5039886128364388
Wikipedia (en),CCD,800,12b,0.5119565826330532
Wikipedia (en),CCD,900,12b,0.5297193877551021
Wikipedia (en),PAC,0,160m,0.502513
Wikipedia (en),PAC,100,160m,0.512928
Wikipedia (en),PAC,200,160m,0.5039129999999999
Wikipedia (en),PAC,300,160m,0.50793
Wikipedia (en),PAC,400,160m,0.5020284210526316
Wikipedia (en),PAC,500,160m,0.5074489528795811
Wikipedia (en),PAC,600,160m,0.5034028268551236
Wikipedia (en),PAC,700,160m,0.5071180124223602
Wikipedia (en),PAC,800,160m,0.5025630252100841
Wikipedia (en),PAC,900,160m,0.5016904761904761
Wikipedia (en),PAC,0,410m,0.5041915000000001
Wikipedia (en),PAC,100,410m,0.5154799999999999
Wikipedia (en),PAC,200,410m,0.5069239999999999
Wikipedia (en),PAC,300,410m,0.5159389999999999
Wikipedia (en),PAC,400,410m,0.5057336842105263
Wikipedia (en),PAC,500,410m,0.5163507853403141
Wikipedia (en),PAC,600,410m,0.5032561837455831
Wikipedia (en),PAC,700,410m,0.5011821946169772
Wikipedia (en),PAC,800,410m,0.5027366946778712
Wikipedia (en),PAC,900,410m,0.5069557823129252
Wikipedia (en),PAC,0,1b,0.505806
